DATE,SALES,COST_OF_SALES,QUANTITY_SOLD,DAILY_UNIT_PRICE,AVG_UNIT_PRICE,GROSS_PROFIT,DAILY_GROSS_PROFIT_PCT,GROSS_PROFIT_PER_UNIT
1/1/2014,86782.46773,87986.31821,2678,32.40570116878,37.07285158158657,-1203.85048,-1.38720471000,-0.44953341299
1/1/2015,112161.41960,122170.43170,2905,38.60978299484,37.07285158158657,-10009.01210,-8.92375661400,-3.44544306368
1/1/2016,111650.23980,121448.28380,3179,35.12118269896,37.07285158158657,-9798.04400,-8.77565871600,-3.08211513054
1/10/2014,594438.28080,639306.56880,18330,32.42980255319,37.07285158158657,-44868.28800,-7.54801456300,-2.44780621931
1/10/2015,402312.33320,459285.80450,12065,33.34540681310,37.07285158158657,-56973.47130,-14.16150254400,-4.72221063407
1/10/2016,208489.09030,201416.83760,5632,37.01865949929,37.07285158158657,7072.25270,3.39214521500,1.25572668679
1/11/2014,247453.10220,242638.80120,6730,36.76866303120,37.07285158158657,4814.30100,1.94554077400,0.71534933135
1/11/2015,274814.77810,287978.17490,7459,36.84338089556,37.07285158158657,-13163.39680,-4.78991591800,-1.76476696608
1/11/2016,126954.17020,110698.74290,2971,42.73112426792,37.07285158158657,16255.42730,12.80416962600,5.47136563447
1/12/2014,105100.66760,97257.39467,2492,42.17522776886,37.07285158158657,7843.27293,7.46262902900,3.14738079053
1/12/2015,262394.78000,285838.55680,7474,35.10767728124,37.07285158158657,-23443.77680,-8.93454389600,-3.13671083757
1/2/2014,181209.12850,178435.71530,5304,34.16461698718,37.07285158158657,2773.41320,1.53050413200,0.52289087481
1/2/2015,171469.93050,174652.45800,4165,41.16925102041,37.07285158158657,-3182.52750,-1.85602658800,-0.76411224490
1/2/2016,339004.33690,371177.18690,10153,33.38957321974,37.07285158158657,-32172.85000,-9.49039481200,-3.16880232444
1/3/2014,846678.38820,872081.58500,26410,32.05900750473,37.07285158158657,-25403.19680,-3.00033603700,-0.96187795532
1/3/2015,256701.54270,276569.25040,6803,37.73357970013,37.07285158158657,-19867.70770,-7.73961367400,-2.92043329413
1/3/2016,180828.67410,182962.33700,4719,38.31927825811,37.07285158158657,-2133.66290,-1.17993615300,-0.45214301759
1/4/2014,244535.20520,239700.68480,7155,34.17682812020,37.07285158158657,4834.52040,1.97702428800,0.67568419287
1/4/2015,498894.34390,542483.83580,13207,37.77499385932,37.07285158158657,-43589.49190,-8.73721909900,-3.30048397819
1/4/2016,232410.19800,245358.63000,6282,36.99621107927,37.07285158158657,-12948.43200,-5.57136997900,-2.06119579752
1/5/2014,180294.26870,175656.65040,5124,35.18623510929,37.07285158158657,4637.61830,2.57224943100,0.90507773224
1/5/2015,499703.41470,526206.93720,12937,38.62591131638,37.07285158158657,-26503.52250,-5.30385058800,-2.04866062457
1/5/2016,354856.04490,380511.15920,10388,34.16018915094,37.07285158158657,-25655.11430,-7.22972446700,-2.46968755295
1/6/2014,456017.46310,473223.98070,14188,32.14106731745,37.07285158158657,-17206.51760,-3.77321462300,-1.21275145193
1/6/2015,440905.99870,474967.32760,11688,37.72296361225,37.07285158158657,-34061.32890,-7.72530403300,-2.91421362936
1/6/2016,368789.57260,391923.65960,10761,34.27093881610,37.07285158158657,-23134.08700,-6.27297752400,-2.14980828919
1/7/2014,180183.03140,173842.92090,5143,35.03461625510,37.07285158158657,6340.11050,3.51870564700,1.23276502042
1/7/2015,305231.90810,324248.84150,8086,37.74819541182,37.07285158158657,-19016.93340,-6.23032287800,-2.35183445461
1/7/2016,479010.15670,517742.19260,14344,33.39446156581,37.07285158158657,-38732.03590,-8.08584856900,-2.70022559258
1/8/2014,611894.67320,636341.31590,18867,32.43200684794,37.07285158158657,-24446.64270,-3.99523705200,-1.29573555414
1/8/2015,173306.90650,178699.97590,4453,38.91913462834,37.07285158158657,-5393.06940,-3.11186063400,-1.21110922973
1/8/2016,65133.96620,55946.05656,1548,42.07620555556,37.07285158158657,9187.90964,14.10617251800,5.93534214470
1/9/2014,594953.63490,662850.99080,19366,30.72155503976,37.07285158158657,-67897.35590,-11.41220961000,-3.50600825674
1/9/2015,384806.77160,418101.59750,11257,34.18377645909,37.07285158158657,-33294.82590,-8.65234927200,-2.95769973350
1/9/2016,313491.73510,333030.87570,9183,34.13827018404,37.07285158158657,-19539.14060,-6.23274504900,-2.12775134488
10/1/2014,144829.95670,141333.99630,4246,34.10974015544,37.07285158158657,3495.96040,2.41383791000,0.82335383891
10/1/2015,120807.57420,123392.80410,2934,41.17504233129,37.07285158158657,-2585.22990,-2.13995680100,-0.88112811861
10/1/2016,90773.65306,84299.28824,2207,41.12988357952,37.07285158158657,6474.36482,7.13242730900,2.93355904848
10/10/2014,179841.43180,170757.58120,4891,36.76986951544,37.07285158158657,9083.85060,5.05103329600,1.85725835208
10/10/2015,119755.01160,116003.68690,3037,39.43200908792,37.07285158158657,3751.32470,3.13249913300,1.23520734277
10/10/2016,50934.98319,44983.77730,1263,40.32856942993,37.07285158158657,5951.20589,11.68392628700,4.71196032462
10/11/2014,76103.29152,73967.60569,2016,37.74964857143,37.07285158158657,2135.68583,2.80629889600,1.05936797123
10/11/2015,131436.19790,143823.38640,3744,35.10582208868,37.07285158158657,-12387.18850,-9.42448784900,-3.30854393697
10/11/2016,71529.16264,67551.25097,1666,42.93467145258,37.07285158158657,3977.91167,5.56124456500,2.38770208283
10/12/2014,161844.80940,169348.51860,4095,39.52254197802,37.07285158158657,-7503.70920,-4.63636073800,-1.83240761905
10/12/2015,133183.69370,137725.87610,3610,36.89298994460,37.07285158158657,-4542.18240,-3.41046435500,-1.25822227147
10/2/2014,147727.51620,154828.68460,4552,32.45332078207,37.07285158158657,-7101.16840,-4.80693684100,-1.56001063269
10/2/2015,138667.41590,148522.84900,3677,37.71210658145,37.07285158158657,-9855.43310,-7.10724508400,-2.68029184117
10/2/2016,76661.25003,66379.56360,1825,42.00616440000,37.07285158158657,10281.68643,13.41184291400,5.63380078356
10/3/2014,286230.67890,297642.89140,8932,32.04553055307,37.07285158158657,-11412.21250,-3.98706824300,-1.27767717197
10/3/2015,62499.79917,62073.87265,1518,41.17246322134,37.07285158158657,425.92652,0.68148462200,0.28058400527
10/3/2016,37453.00618,35108.20011,892,41.98767508969,37.07285158158657,2344.80607,6.26066185100,2.62870635650
10/4/2014,179326.49020,183278.50240,5380,33.33206137546,37.07285158158657,-3952.01220,-2.20380837000,-0.73457475836
10/4/2015,114067.07710,113653.97360,2770,41.17945021661,37.07285158158657,413.10350,0.36215839900,0.14913483755
10/4/2016,104689.42790,113609.30430,2958,35.39196345504,37.07285158158657,-8919.87640,-8.52032204100,-3.01550926302
10/5/2014,431695.70920,465253.81570,13306,32.44368774989,37.07285158158657,-33558.10650,-7.77355572100,-2.52202814520
10/5/2015,166536.00030,179243.05180,4410,37.76326537415,37.07285158158657,-12707.05150,-7.63021297300,-2.88141757370
10/5/2016,42723.52446,37112.98506,1016,42.05071305118,37.07285158158657,5610.53940,13.13220168700,5.52218444882
